train_order,algorithm,features,n_features,train_time,mem_max,roc_auc,f1,accuracy,confusion_matrix
13,"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2', SVC(probability=True)),
                             ('e3',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None))],
                 n_jobs=-1)","('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4195', '4180', '4169', '4167', '4163', '4147', '4135', '4015', '3968', '3964', '3902', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3808', '3793', '3785', '3781', '3780', '3735', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3559', '3530', '3519', '3430', '3417', '3414', '3411', '3365', '3337', '3323', '3320', '3291', '3274', '3267', '3265', '3255', '3214', '3211', '3145', '3143', '3134', '3125', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2764', '2720', '2719', '2711', '2708', '2703', '2678', '2657', '2618', '2598', '2596', '2585', '2582', '2519', '2429', '2403', '2363', '2332', '2331', '2322', '2270', '2182', '2179', '2155', '2153', '2130', '2119', '2115', '2096', '2094', '2093', '2092', '2082', '2080', '2060', '2051', '1993', '1981', '1978', '1975', '1970', '1962', '1960', '1919', '1904', '1862', '1852', '1834', '1804', '1796', '1782', '1738', '1736', '1688', '1667', '1656', '1639', '1628', '1620', '1590', '1578', '1565', '1551', '1537', '1482', '1479', '1476', '1449', '1437', '1435', '1418', '1398', '1365', '1355', '1325', '1283', '1270', '1232', '1218', '1210', '1194', '1178', '1150', '1148', '1095', '1012', '1005', '998', '970', '965', '956', '946', '916', '915', '907', '902', '901', '851', '844', '814', '813', '808', '798', '791', '783', '752', '701', '698', '666', '662', '641', '635', '623', '615', '599', '578', '551', '543', '540', '511', '509', '498', '487', '486', '480', '433', '422', '419', '415', '412', '406', '386', '384', '372', '363', '157', '8', 'Unnamed: 0')",222,133.32204460000003,2356.08984375,0.9338301358279161,0.8067796610169491,0.8564231738035264,"[[221  17]
 [ 40 119]]"
4,RandomForestClassifier(n_jobs=-1),"('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4195', '4180', '4169', '4167', '4163', '4147', '4135', '4015', '3968', '3964', '3902', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3808', '3793', '3785', '3781', '3780', '3735', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3559', '3530', '3519', '3430', '3417', '3414', '3411', '3365', '3337', '3323', '3320', '3291', '3274', '3267', '3265', '3255', '3214', '3211', '3145', '3143', '3134', '3125', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2764', '2720', '2719', '2711', '2708', '2703', '2678', '2657', '2618', '2598', '2596', '2585', '2582', '2519', '2429', '2403', '2363', '2332', '2331', '2322', '2270', '2182', '2179', '2155', '2153', '2130', '2119', '2115', '2096', '2094', '2093', '2092', '2082', '2080', '2060', '2051', '1993', '1981', '1978', '1975', '1970', '1962', '1960', '1919', '1904', '1862', '1852', '1834', '1804', '1796', '1782', '1738', '1736', '1688', '1667', '1656', '1639', '1628', '1620', '1590', '1578', '1565', '1551', '1537', '1482', '1479', '1476', '1449', '1437', '1435', '1418', '1398', '1365', '1355', '1325', '1283', '1270', '1232', '1218', '1210', '1194', '1178', '1150', '1148', '1095', '1012', '1005', '998', '970', '965', '956', '946', '916', '915', '907', '902', '901', '851', '844', '814', '813', '808', '798', '791', '783', '752', '701', '698', '666', '662', '641', '635', '623', '615', '599', '578', '551', '543', '540', '511', '509', '498', '487', '486', '480', '433', '422', '419', '415', '412', '406', '386', '384', '372', '363', '157', '8', 'Unnamed: 0')",222,184.23000520000005,2036.03515625,0.9322445959515882,0.7832167832167831,0.8438287153652393,"[[223  15]
 [ 47 112]]"
23,"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2', SVC(probability=True)),
                             ('e3',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None))],
                 n_jobs=-1)","('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4195', '4180', '4169', '4167', '4163', '4147', '4135', '3968', '3964', '3892', '3890', '3884', '3847', '3846', '3845', '3808', '3793', '3785', '3781', '3780', '3735', '3720', '3680', '3673', '3653', '3611', '3574', '3559', '3530', '3519', '3430', '3417', '3414', '3411', '3365', '3337', '3323', '3320', '3291', '3274', '3267', '3265', '3255', '3214', '3211', '3145', '3143', '3134', '3125', '3122', '3107', '3081', '3066', '3058', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2764', '2720', '2719', '2703', '2678', '2657', '2618', '2598', '2596', '2585', '2582', '2519', '2429', '2403', '2363', '2332', '2331', '2322', '2270', '2182', '2179', '2155', '2153', '2119', '2115', '2094', '2093', '2092', '2080', '2051', '1993', '1981', '1978', '1975', '1970', '1962', '1960', '1919', '1904', '1862', '1852', '1834', '1804', '1796', '1782', '1738', '1736', '1688', '1667', '1656', '1639', '1628', '1620', '1590', '1578', '1565', '1551', '1537', '1482', '1479', '1476', '1449', '1437', '1435', '1418', '1365', '1355', '1325', '1283', '1270', '1232', '1218', '1210', '1194', '1178', '1150', '1148', '1095', '1012', '1005', '998', '970', '965', '956', '916', '915', '907', '902', '901', '851', '844', '814', '813', '798', '791', '783', '752', '701', '698', '666', '662', '635', '623', '615', '599', '578', '551', '543', '540', '511', '509', '498', '487', '486', '480', '433', '422', '419', '415', '412', '406', '386', '384', '372', '363', '157', '8', 'Unnamed: 0')",207,127.38786720000007,2475.4375,0.9314518260134244,0.8108108108108109,0.8589420654911839,"[[221  17]
 [ 39 120]]"
14,"StackingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                               ('e2', SVC(probability=True)),
                               ('e3',
                                XGBClassifier(base_score=None, booster=None,
                                              colsample_bylevel=None,
                                              colsample_bynode=None,
                                              colsample_bytree=None,
                                              enable_categorical=False,
                                              eval_metric='mlogloss',
                                              gamma=None, gpu_id=None,
                                              importance_type=None,
                                              interaction_constraints=None,
                                              learning_rate=None,
                                              max_delta_step=None,
                                              max_depth=None,
                                              min_child_weight=None,
                                              missing=nan,
                                              monotone_constraints=None,
                                              n_estimators=100, n_jobs=None,
                                              num_parallel_tree=None,
                                              predictor=None, random_state=None,
                                              reg_alpha=None, reg_lambda=None,
                                              scale_pos_weight=None,
                                              subsample=None, tree_method=None,
                                              use_label_encoder=False,
                                              validate_parameters=None,
                                              verbosity=None))],
                   n_jobs=-1)","('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4195', '4180', '4169', '4167', '4163', '4147', '4135', '4015', '3968', '3964', '3902', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3808', '3793', '3785', '3781', '3780', '3735', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3559', '3530', '3519', '3430', '3417', '3414', '3411', '3365', '3337', '3323', '3320', '3291', '3274', '3267', '3265', '3255', '3214', '3211', '3145', '3143', '3134', '3125', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2764', '2720', '2719', '2711', '2708', '2703', '2678', '2657', '2618', '2598', '2596', '2585', '2582', '2519', '2429', '2403', '2363', '2332', '2331', '2322', '2270', '2182', '2179', '2155', '2153', '2130', '2119', '2115', '2096', '2094', '2093', '2092', '2082', '2080', '2060', '2051', '1993', '1981', '1978', '1975', '1970', '1962', '1960', '1919', '1904', '1862', '1852', '1834', '1804', '1796', '1782', '1738', '1736', '1688', '1667', '1656', '1639', '1628', '1620', '1590', '1578', '1565', '1551', '1537', '1482', '1479', '1476', '1449', '1437', '1435', '1418', '1398', '1365', '1355', '1325', '1283', '1270', '1232', '1218', '1210', '1194', '1178', '1150', '1148', '1095', '1012', '1005', '998', '970', '965', '956', '946', '916', '915', '907', '902', '901', '851', '844', '814', '813', '808', '798', '791', '783', '752', '701', '698', '666', '662', '641', '635', '623', '615', '599', '578', '551', '543', '540', '511', '509', '498', '487', '486', '480', '433', '422', '419', '415', '412', '406', '386', '384', '372', '363', '157', '8', 'Unnamed: 0')",222,504.68357319999996,2423.703125,0.9311347180381586,0.8242811501597445,0.8614609571788413,"[[213  25]
 [ 30 129]]"
19,"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2', SVC(probability=True)),
                             ('e3',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None))],
                 n_jobs=-1)","('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4195', '4180', '4169', '4167', '4163', '4147', '4135', '4015', '3968', '3964', '3902', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3808', '3793', '3780', '3735', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3559', '3430', '3417', '3411', '3365', '3337', '3320', '3291', '3267', '3265', '3255', '3214', '3211', '3145', '3143', '3134', '3125', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2884', '2876', '2873', '2872', '2828', '2787', '2764', '2720', '2719', '2711', '2708', '2703', '2657', '2618', '2598', '2596', '2582', '2519', '2429', '2403', '2363', '2332', '2331', '2322', '2270', '2182', '2179', '2155', '2153', '2130', '2119', '2115', '2096', '2094', '2093', '2092', '2082', '2080', '2060', '2051', '1993', '1981', '1978', '1975', '1970', '1962', '1960', '1919', '1904', '1862', '1852', '1834', '1804', '1796', '1782', '1738', '1736', '1688', '1667', '1656', '1639', '1628', '1620', '1590', '1578', '1565', '1551', '1537', '1482', '1479', '1476', '1449', '1437', '1435', '1418', '1398', '1365', '1355', '1270', '1232', '1210', '1194', '1178', '1150', '1148', '1095', '1012', '1005', '998', '970', '965', '956', '946', '916', '915', '907', '902', '901', '851', '844', '808', '798', '791', '783', '752', '701', '698', '666', '662', '641', '635', '623', '615', '599', '578', '551', '543', '540', '511', '509', '498', '487', '486', '480', '433', '422', '415', '406', '386', '372', '363', '157', 'Unnamed: 0')",202,126.28559150000001,2424.1953125,0.9309497383859204,0.7959183673469387,0.8488664987405542,"[[220  18]
 [ 42 117]]"
18,"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2', SVC(probability=True)),
                             ('e3',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None))],
                 n_jobs=-1)","('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4195', '4180', '4169', '4163', '4147', '4135', '4015', '3968', '3964', '3902', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3808', '3793', '3785', '3781', '3780', '3735', '3720', '3719', '3680', '3673', '3611', '3574', '3559', '3530', '3519', '3430', '3417', '3414', '3411', '3365', '3337', '3323', '3320', '3291', '3274', '3267', '3265', '3255', '3214', '3211', '3145', '3143', '3125', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2787', '2764', '2720', '2719', '2711', '2708', '2657', '2618', '2598', '2596', '2585', '2582', '2519', '2429', '2403', '2363', '2332', '2331', '2322', '2270', '2182', '2179', '2155', '2153', '2130', '2119', '2115', '2096', '2094', '2093', '2092', '2082', '2080', '2060', '2051', '1993', '1981', '1978', '1975', '1970', '1962', '1960', '1919', '1904', '1862', '1852', '1834', '1804', '1796', '1782', '1738', '1736', '1688', '1667', '1656', '1639', '1620', '1590', '1578', '1565', '1551', '1482', '1479', '1476', '1449', '1437', '1435', '1418', '1398', '1365', '1355', '1325', '1283', '1270', '1232', '1218', '1210', '1194', '1178', '1150', '1148', '1095', '1012', '1005', '998', '970', '965', '946', '916', '915', '907', '902', '901', '851', '814', '813', '808', '798', '791', '752', '701', '698', '662', '641', '635', '623', '615', '578', '543', '540', '498', '487', '486', '480', '422', '419', '415', '412', '406', '386', '372', '157', '8', 'Unnamed: 0')",202,134.681967,2417.01953125,0.9309497383859204,0.8160535117056856,0.8614609571788413,"[[220  18]
 [ 37 122]]"
16,"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2', SVC(probability=True)),
                             ('e3',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None))],
                 n_jobs=-1)","('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4195', '4180', '4169', '4163', '4147', '4135', '4015', '3968', '3964', '3902', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3808', '3793', '3785', '3781', '3780', '3735', '3720', '3719', '3680', '3673', '3611', '3574', '3559', '3530', '3519', '3430', '3417', '3414', '3411', '3365', '3337', '3323', '3320', '3291', '3274', '3267', '3265', '3255', '3214', '3211', '3145', '3143', '3125', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2787', '2764', '2720', '2719', '2711', '2708', '2657', '2618', '2598', '2596', '2585', '2582', '2519', '2429', '2403', '2363', '2332', '2322', '2270', '2182', '2155', '2130', '2119', '2115', '2096', '2094', '2093', '2082', '2080', '2060', '2051', '1993', '1981', '1978', '1975', '1970', '1962', '1960', '1919', '1904', '1862', '1852', '1834', '1804', '1796', '1782', '1738', '1736', '1688', '1667', '1656', '1639', '1620', '1590', '1578', '1565', '1551', '1482', '1479', '1476', '1449', '1437', '1435', '1418', '1398', '1365', '1355', '1325', '1283', '1270', '1232', '1218', '1210', '1194', '1178', '1150', '1148', '1095', '1012', '1005', '998', '970', '965', '946', '916', '915', '907', '902', '901', '851', '814', '813', '808', '798', '791', '752', '701', '698', '662', '641', '635', '623', '615', '578', '543', '540', '498', '487', '486', '480', '422', '419', '415', '412', '406', '386', '372', '157', '8', 'Unnamed: 0')",198,127.40595870000016,2397.66796875,0.9259552877754875,0.7986577181208053,0.8488664987405542,"[[218  20]
 [ 40 119]]"
17,"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2', SVC(probability=True)),
                             ('e3',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None))],
                 n_jobs=-1)","('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4195', '4180', '4169', '4167', '4163', '4147', '4135', '4015', '3968', '3964', '3902', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3808', '3793', '3785', '3781', '3780', '3735', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3559', '3530', '3519', '3430', '3417', '3414', '3411', '3365', '3337', '3323', '3320', '3291', '3274', '3267', '3265', '3255', '3214', '3211', '3145', '3143', '3134', '3125', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2764', '2720', '2719', '2711', '2708', '2703', '2678', '2657', '2618', '2598', '2596', '2585', '2582', '2519', '2429', '2403', '2363', '2332', '2322', '2270', '2182', '2155', '2130', '2119', '2115', '2096', '2094', '2093', '2082', '2080', '2060', '2051', '1993', '1981', '1978', '1975', '1970', '1962', '1960', '1919', '1904', '1862', '1852', '1834', '1804', '1796', '1782', '1738', '1736', '1688', '1667', '1656', '1639', '1628', '1620', '1590', '1578', '1565', '1551', '1537', '1482', '1479', '1476', '1449', '1437', '1435', '1418', '1398', '1365', '1355', '1325', '1283', '1270', '1232', '1218', '1210', '1194', '1178', '1150', '1148', '1095', '1012', '1005', '998', '970', '965', '956', '946', '916', '915', '907', '902', '901', '851', '844', '814', '813', '808', '798', '791', '783', '752', '701', '698', '666', '662', '641', '635', '623', '615', '599', '578', '551', '543', '540', '511', '509', '498', '487', '486', '480', '433', '422', '419', '415', '412', '406', '386', '384', '372', '363', '157', '8', 'Unnamed: 0')",218,138.91055890000007,2413.41015625,0.92495111252048,0.7750865051903114,0.836272040302267,"[[220  18]
 [ 47 112]]"
20,"VotingClassifier(estimators=[('e1', RandomForestClassifier(n_jobs=-1)),
                             ('e2', SVC(probability=True)),
                             ('e3',
                              XGBClassifier(base_score=None, booster=None,
                                            colsample_bylevel=None,
                                            colsample_bynode=None,
                                            colsample_bytree=None,
                                            enable_categorical=False,
                                            eval_metric='mlogloss', gamma=None,
                                            gpu_id=None, importance_type=None,
                                            interaction_constraints=None,
                                            learning_rate=None,
                                            max_delta_step=None, max_depth=None,
                                            min_child_weight=None, missing=nan,
                                            monotone_constraints=None,
                                            n_estimators=100, n_jobs=None,
                                            num_parallel_tree=None,
                                            predictor=None, random_state=None,
                                            reg_alpha=None, reg_lambda=None,
                                            scale_pos_weight=None,
                                            subsample=None, tree_method=None,
                                            use_label_encoder=False,
                                            validate_parameters=None,
                                            verbosity=None))],
                 n_jobs=-1)","('4284', '4274', '4255', '4251', '4223', '4218', '4195', '4180', '4169', '4167', '4163', '4147', '4015', '3968', '3964', '3902', '3884', '3848', '3847', '3846', '3845', '3808', '3793', '3785', '3781', '3780', '3735', '3720', '3680', '3673', '3653', '3611', '3574', '3559', '3530', '3519', '3430', '3417', '3414', '3411', '3365', '3337', '3323', '3320', '3291', '3274', '3265', '3255', '3214', '3211', '3145', '3143', '3125', '3122', '3107', '3058', '3045', '3043', '3034', '3027', '3025', '3021', '2972', '2925', '2920', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2764', '2720', '2719', '2711', '2708', '2703', '2678', '2657', '2618', '2598', '2596', '2585', '2582', '2519', '2429', '2403', '2363', '2332', '2331', '2322', '2270', '2182', '2179', '2153', '2130', '2119', '2115', '2096', '2094', '2093', '2092', '2082', '2080', '2060', '2051', '1993', '1981', '1978', '1970', '1962', '1960', '1919', '1862', '1852', '1834', '1804', '1796', '1782', '1738', '1736', '1656', '1639', '1628', '1620', '1590', '1578', '1565', '1551', '1537', '1482', '1479', '1476', '1449', '1437', '1435', '1418', '1398', '1365', '1355', '1325', '1283', '1270', '1232', '1218', '1210', '1194', '1178', '1150', '1148', '1095', '1012', '1005', '998', '970', '965', '946', '916', '915', '907', '901', '851', '844', '813', '808', '798', '791', '783', '701', '698', '666', '662', '641', '635', '623', '615', '599', '578', '551', '543', '540', '511', '509', '498', '487', '486', '480', '433', '422', '419', '415', '412', '406', '384', '372', '363', '157', '8', 'Unnamed: 0')",200,124.43622860000005,2428.203125,0.9212250938111094,0.8133333333333335,0.8589420654911839,"[[219  19]
 [ 37 122]]"
1,SVC(probability=True),"('4284', '4275', '4274', '4255', '4251', '4223', '4218', '4195', '4180', '4169', '4167', '4163', '4147', '4135', '4015', '3968', '3964', '3902', '3892', '3890', '3884', '3848', '3847', '3846', '3845', '3808', '3793', '3785', '3781', '3780', '3735', '3720', '3719', '3680', '3673', '3653', '3611', '3574', '3559', '3530', '3519', '3430', '3417', '3414', '3411', '3365', '3337', '3323', '3320', '3291', '3274', '3267', '3265', '3255', '3214', '3211', '3145', '3143', '3134', '3125', '3122', '3107', '3081', '3066', '3058', '3045', '3043', '3042', '3034', '3027', '3026', '3025', '3021', '2972', '2925', '2920', '2900', '2884', '2876', '2873', '2872', '2828', '2806', '2787', '2764', '2720', '2719', '2711', '2708', '2703', '2678', '2657', '2618', '2598', '2596', '2585', '2582', '2519', '2429', '2403', '2363', '2332', '2331', '2322', '2270', '2182', '2179', '2155', '2153', '2130', '2119', '2115', '2096', '2094', '2093', '2092', '2082', '2080', '2060', '2051', '1993', '1981', '1978', '1975', '1970', '1962', '1960', '1919', '1904', '1862', '1852', '1834', '1804', '1796', '1782', '1738', '1736', '1688', '1667', '1656', '1639', '1628', '1620', '1590', '1578', '1565', '1551', '1537', '1482', '1479', '1476', '1449', '1437', '1435', '1418', '1398', '1365', '1355', '1325', '1283', '1270', '1232', '1218', '1210', '1194', '1178', '1150', '1148', '1095', '1012', '1005', '998', '970', '965', '956', '946', '916', '915', '907', '902', '901', '851', '844', '814', '813', '808', '798', '791', '783', '752', '701', '698', '666', '662', '641', '635', '623', '615', '599', '578', '551', '543', '540', '511', '509', '498', '487', '486', '480', '433', '422', '419', '415', '412', '406', '386', '384', '372', '363', '157', '8', 'Unnamed: 0')",222,149.80640350000004,1874.8671875,0.9026742772580731,0.7750000000000001,0.818639798488665,"[[201  37]
 [ 35 124]]"
